LOCATIONID,LOCATIONNAME,ZONELEVELID,geometry
0-EU-ES-08-13-001-019-08-008,Porta,8,2.174593|2.17377|2.172799|2.172304|2.172063|2.17228|2.172858|2.173287|2.173654|2.17382|2.174235|2.174523|2.174809|2.176377|2.179467|2.180818|2.181041|2.182189|2.182953|2.182837|2.182535|2.182647|2.183179|2.18346|2.184371|2.184746|2.18532|2.183897|2.178906|2.176172|2.174593|41.438354|41.437341|41.436391|41.435647|41.435321|41.43497|41.433931|41.433135|41.432491|41.432197|41.431439|41.430922|41.430302|41.430271|41.43025|41.430248|41.430249|41.430248|41.430247|41.430406|41.431031|41.431732|41.433107|41.434167|41.436839|41.437966|41.43967|41.439524|41.438915|41.438591|41.438354
0-EU-ES-08-13-001-019-09-001,La Trinitat Vella,8,2.190409|2.189046|2.188866|2.189032|2.188716|2.187683|2.188171|2.188825|2.190633|2.192537|2.193118|2.193428|2.194117|2.194938|2.196017|2.197408|2.20145|2.200801|2.197658|2.194743|2.192449|2.192037|2.191191|2.190457|2.190409|41.455189|41.4536|41.453394|41.451682|41.449901|41.446943|41.44695|41.446948|41.446933|41.44688|41.447114|41.447238|41.447515|41.447596|41.447403|41.447685|41.449038|41.449761|41.452325|41.454631|41.456387|41.455904|41.455505|41.455212|41.455189
0-EU-ES-08-13-001-019-09-003,Baró de Viver,8,2.20145|2.198839|2.197408|2.197122|2.196813|2.195825|2.197606|2.199722|2.199682|2.199422|2.199375|2.200132|2.201293|2.20328|2.20145|41.449038|41.448164|41.447685|41.446746|41.445728|41.44258|41.442698|41.442839|41.443095|41.444759|41.445066|41.445452|41.44602|41.44699|41.449038
0-EU-ES-08-13-001-019-10-010,Sant Martí de Provençals,8,2.192434|2.193101|2.193772|2.194473|2.195436|2.196336|2.197116|2.198439|2.2016|2.205074|2.202346|2.201574|2.199582|2.198625|2.197971|2.196707|2.195197|2.193739|2.193272|2.193298|2.193603|2.192434|41.414519|41.414015|41.413514|41.412988|41.412266|41.411591|41.411008|41.41198|41.414325|41.416934|41.419026|41.419611|41.421077|41.421818|41.421901|41.422162|41.42248|41.417921|41.416716|41.416189|41.415373|41.414519
0-EU-ES-08-13-001-019-03-005,La Marina del Port,8,2.133836|2.135538|2.136822|2.14182|2.143353|2.143614|2.145093|2.146436|2.146024|2.145818|2.145294|2.145067|2.144933|2.144836|2.144821|2.144841|2.144704|2.145401|2.14614|2.146478|2.146917|2.147327|2.148042|2.148486|2.148793|2.149111|2.149268|2.149382|2.14915|2.148877|2.147908|2.147435|2.146385|2.146043|2.145281|2.144141|2.143951|2.143749|2.143317|2.142883|2.143107|2.142337|2.142053|2.14166|2.141471|2.141271|2.141116|2.140334|2.139728|2.139571|2.140152|2.139458|2.133927|2.135367|2.134504|2.133184|2.132878|2.132262|2.133471|2.133836|41.353092|41.353707|41.354285|41.356326|41.354209|41.354312|41.354746|41.355347|41.356499|41.356854|41.357348|41.357577|41.357806|41.357967|41.358587|41.358894|41.359185|41.359539|41.359904|41.360018|41.360041|41.35996|41.359824|41.359728|41.359688|41.359817|41.360007|41.36052|41.360983|41.361516|41.362242|41.36259|41.362988|41.363209|41.363268|41.36378|41.363915|41.36411|41.364471|41.364677|41.364912|41.365374|41.365484|41.365655|41.365875|41.365964|41.365924|41.365873|41.365834|41.365917|41.367319|41.367755|41.363387|41.362144|41.360949|41.359989|41.358967|41.355418|41.353593|41.353092
0-EU-ES-08-13-001-019-03-008,La Marina del Prat Vermell,8,2.133842|2.135728|2.137434|2.138936|2.141825|2.150914|2.153188|2.150864|2.148953|2.146794|2.146436|2.145093|2.143679|2.143352|2.14182|2.136808|2.135522|2.133842|41.353092|41.350813|41.34889|41.346758|41.347449|41.35101|41.351626|41.352827|41.353767|41.354825|41.355347|41.354746|41.354332|41.354205|41.356326|41.354279|41.353702|41.353092
0-EU-ES-08-13-001-019-04-003,Pedralbes,8,2.127388|2.127975|2.128491|2.129396|2.127157|2.125581|2.124729|2.124294|2.123237|2.122288|2.120834|2.120695|2.120398|2.119895|2.119446|2.118535|2.118427|2.118072|2.117828|2.117607|2.118144|2.11843|2.118463|2.118301|2.118065|2.117927|2.11737|2.116791|2.115744|2.115432|2.11477|2.11394|2.113428|2.11316|2.112886|2.112425|2.111843|2.110886|2.110339|2.109989|2.109766|2.109529|2.109327|2.109106|2.108557|2.108239|2.10789|2.105773|2.105586|2.105448|2.105268|2.104958|2.104295|2.103178|2.100288|2.097862|2.099756|2.10212|2.10201|2.102002|2.10648|2.111129|2.113113|2.121284|2.127388|41.388414|41.390225|41.391199|41.392384|41.391843|41.391465|41.391266|41.391157|41.390868|41.390644|41.390091|41.390566|41.390965|41.391371|41.391583|41.391768|41.391802|41.391903|41.392073|41.392219|41.392749|41.393301|41.393941|41.394481|41.394873|41.395094|41.395373|41.395527|41.395807|41.39598|41.396405|41.396869|41.397151|41.397301|41.397178|41.396907|41.396561|41.395874|41.395778|41.396079|41.39627|41.396599|41.39688|41.397272|41.398545|41.398827|41.399142|41.40102|41.401182|41.401314|41.401442|41.401734|41.402307|41.403367|41.39817|41.393808|41.391087|41.387608|41.382383|41.381719|41.382899|41.384136|41.384667|41.386826|41.388414
0-EU-ES-08-13-001-019-05-001,Vallvidrera - El Tibidabo i les Planes,8,2.105056|2.105514|2.10577|2.105954|2.106225|2.106619|2.107008|2.107368|2.107466|2.10729|2.107355|2.107643|2.107727|2.10787|2.107979|2.108708|2.10891|2.109091|2.109012|2.10885|2.108598|2.10844|2.108132|2.107554|2.107406|2.107124|2.106915|2.106829|2.106729|2.106563|2.106345|2.106062|2.105633|2.1054|2.104916|2.104596|2.104391|2.104295|2.104299|2.104445|2.104317|2.103755|2.103537|2.103356|2.103204|2.103496|2.103552|2.103414|2.103897|2.104154|2.104517|2.105442|2.105782|2.106819|2.106977|2.107003|2.106732|2.105892|2.105773|2.105773|2.106229|2.106265|2.106361|2.106461|2.10669|2.107019|2.107447|2.108005|2.108249|2.108226|2.108274|2.108183|2.10837|2.10861|2.108815|2.109126|2.109472|2.109698|2.109961|2.110158|2.110257|2.110479|2.110902|2.111068|2.111164|2.111225|2.111439|2.1119|2.112261|2.112571|2.11271|2.112882|2.113004|2.113741|2.11418|2.114291|2.11443|2.114621|2.115231|2.115561|2.115823|2.116041|2.116364|2.116786|2.117694|2.118358|2.11857|2.118606|2.118678|2.119328|2.119424|2.11938|2.119078|2.118686|2.118571|2.118766|2.119456|2.120011|2.120072|2.120051|2.119834|2.119836|2.120033|2.120705|2.120871|2.121094|2.121475|2.121702|2.121703|2.12186|2.121923|2.122096|2.122086|2.122234|2.122346|2.122564|2.122784|2.12315|2.123429|2.123312|2.123173|2.123356|2.123728|2.124171|2.124635|2.124985|2.125469|2.12561|2.125244|2.125167|2.125541|2.12621|2.126343|2.126604|2.126697|2.126894|2.12698|2.127507|2.127975|2.128439|2.128606|2.128852|2.128907|2.128513|2.127914|2.127961|2.128217|2.128199|2.128048|2.127793|2.127499|2.127449|2.128107|2.128441|2.128607|2.128749|2.128833|2.129084|2.129422|2.129691|2.129817|2.129917|2.130035|2.1304|2.130492|2.130824|2.131368|2.132003|2.131014|2.128282|2.126665|2.12632|2.125269|2.124861|2.124769|2.123993|2.121269|2.120863|2.120456|2.120515|2.121422|2.120969|2.119548|2.113093|2.103211|2.096374|2.094238|2.092731|2.091211|2.090527|2.088545|2.087098|2.085954|2.084671|2.083723|2.080393|2.07498|2.073273|2.071766|2.071091|2.072421|2.076514|2.073305|2.072907|2.080193|2.080064|2.075253|2.077378|2.078813|2.078142|2.07218|2.072075|2.072133|2.069932|2.070346|2.072445|2.077873|2.08396|2.094573|2.09909|2.103636|2.103174|2.104013|2.104951|2.105056|41.402227|41.402302|41.40258|41.403229|41.403244|41.403227|41.403295|41.403547|41.404135|41.404501|41.40463|41.404786|41.40493|41.405294|41.405455|41.405771|41.406048|41.406699|41.406829|41.406969|41.40704|41.406962|41.406696|41.406511|41.406594|41.406871|41.406955|41.406948|41.406927|41.40683|41.406521|41.406462|41.406507|41.406405|41.406049|41.406058|41.406129|41.406253|41.406444|41.407111|41.407275|41.407339|41.407391|41.407593|41.407949|41.408304|41.408531|41.409148|41.409381|41.40975|41.409837|41.409792|41.409822|41.409873|41.410003|41.410119|41.41044|41.410992|41.411179|41.411264|41.411429|41.411619|41.411763|41.411775|41.411684|41.411503|41.411416|41.411378|41.411491|41.411944|41.412399|41.412756|41.412901|41.412917|41.41303|41.413033|41.412615|41.412447|41.412435|41.412551|41.412953|41.413285|41.413613|41.413642|41.413553|41.413125|41.412764|41.412419|41.412341|41.412603|41.412703|41.412773|41.412758|41.412242|41.412227|41.412369|41.412888|41.41305|41.413144|41.414052|41.414225|41.414162|41.413752|41.413575|41.413723|41.413651|41.413517|41.412931|41.412733|41.412503|41.413015|41.413344|41.413769|41.414617|41.414909|41.415065|41.415138|41.41512|41.415154|41.415237|41.415679|41.416263|41.416245|41.415988|41.416048|41.416463|41.417014|41.416891|41.416412|41.416208|41.415903|41.415644|41.415293|41.415179|41.415225|41.415398|41.415496|41.415375|41.414911|41.414531|41.414007|41.413773|41.413637|41.413582|41.413847|41.413934|41.413966|41.414047|41.414491|41.415004|41.415614|41.415886|41.416028|41.41666|41.41673|41.416756|41.416744|41.41665|41.416629|41.416675|41.416882|41.41724|41.417503|41.417922|41.418272|41.418434|41.418635|41.418758|41.418908|41.419121|41.419274|41.41945|41.419701|41.419709|41.419819|41.419853|41.419909|41.419633|41.419504|41.419628|41.419812|41.420014|41.4201|41.42002|41.42023|41.419991|41.420224|41.420422|41.421931|41.422202|41.421725|41.421421|41.421204|41.421252|41.421701|41.421533|41.421487|41.421836|41.422792|41.424052|41.425712|41.425932|41.425659|41.428716|41.42826|41.433721|41.432211|41.430508|41.429737|41.429116|41.429428|41.42917|41.429577|41.430949|41.431894|41.430754|41.433263|41.436403|41.43607|41.436056|41.431174|41.428694|41.427622|41.425018|41.424193|41.423058|41.422254|41.418705|41.41908|41.412459|41.411093|41.408944|41.407643|41.407194|41.406637|41.403559|41.403081|41.4095|41.408053|41.408076|41.404224|41.403373|41.402703|41.401755|41.402227
0-EU-ES-08-13-001-019-06-003,La Salut,8,2.14976|2.149661|2.149049|2.149202|2.149843|2.149951|2.150217|2.149208|2.148281|2.148024|2.148604|2.148769|2.150015|2.150616|2.150764|2.151063|2.153818|2.154222|2.155985|2.158185|2.1605|2.162087|2.161851|2.161439|2.16129|2.161053|2.160879|2.160714|2.160213|2.159123|2.158634|2.158057|2.157821|2.157633|2.157474|2.157236|2.157001|2.156656|2.155915|2.155115|2.15463|2.153591|2.153314|2.15289|2.152694|2.151944|2.151579|2.151199|2.150343|2.150188|2.150791|2.150839|2.150262|2.149398|2.149542|2.149778|2.14987|2.14976|41.41342|41.413034|41.412925|41.412759|41.412071|41.411952|41.411665|41.411164|41.410675|41.410532|41.409955|41.409795|41.408577|41.407987|41.407849|41.408045|41.409066|41.408557|41.409482|41.410572|41.41181|41.412637|41.412928|41.413435|41.413615|41.41368|41.413728|41.413774|41.413914|41.414492|41.414998|41.415598|41.416117|41.416509|41.416579|41.416523|41.416261|41.415672|41.415118|41.414953|41.415232|41.416106|41.41634|41.416691|41.416873|41.416924|41.416501|41.416331|41.416332|41.416261|41.415779|41.4156|41.415441|41.415328|41.414883|41.414488|41.413887|41.41342
0-EU-ES-08-13-001-019-06-005,Vallcarca i els Penitents,8,2.136104|2.135082|2.135316|2.135213|2.134833|2.134724|2.134497|2.134313|2.134191|2.134304|2.135095|2.135367|2.134637|2.133799|2.132434|2.131032|2.132021|2.130825|2.130517|2.130589|2.130553|2.130465|2.130472|2.130377|2.130586|2.131176|2.131587|2.132186|2.132737|2.134246|2.134732|2.135138|2.135844|2.136134|2.136154|2.136167|2.136243|2.1365|2.136542|2.137355|2.137796|2.138758|2.139953|2.140962|2.14139|2.143703|2.144591|2.145077|2.145261|2.145552|2.145742|2.145892|2.146477|2.147467|2.147754|2.148212|2.148955|2.149336|2.14996|2.150489|2.150762|2.15038|2.148606|2.148026|2.148285|2.149201|2.150213|2.149047|2.149661|2.149873|2.149777|2.149539|2.149405|2.148237|2.147152|2.144971|2.14475|2.144727|2.144715|2.144896|2.14514|2.14673|2.146867|2.146981|2.14602|2.145706|2.14547|2.145181|2.144934|2.144581|2.144118|2.144012|2.144|2.144233|2.144513|2.144399|2.144088|2.143889|2.14367|2.143483|2.142097|2.141861|2.140986|2.140677|2.140072|2.139864|2.139667|2.137763|2.13758|2.137671|2.138086|2.138337|2.138437|2.138092|2.137899|2.137171|2.13632|2.136105|2.136104|41.42443|41.424896|41.424428|41.424152|41.423837|41.423567|41.423363|41.423083|41.422762|41.422593|41.422106|41.4213|41.421437|41.421519|41.421423|41.421915|41.420413|41.419978|41.420231|41.419836|41.419556|41.419445|41.419298|41.418873|41.418353|41.418211|41.418324|41.418603|41.418345|41.417808|41.41737|41.417006|41.416373|41.416115|41.41594|41.415742|41.415238|41.415042|41.415011|41.414389|41.414065|41.413342|41.412421|41.41171|41.411679|41.411432|41.411372|41.411245|41.411165|41.410887|41.410566|41.410212|41.409401|41.408187|41.407937|41.407539|41.406968|41.406666|41.407216|41.407689|41.407849|41.408215|41.409953|41.410531|41.410675|41.411163|41.411666|41.412926|41.413034|41.413871|41.414496|41.414883|41.415325|41.415581|41.414726|41.413443|41.413352|41.414139|41.414509|41.414694|41.414876|41.415694|41.415888|41.416373|41.41688|41.416744|41.41663|41.416588|41.416702|41.416966|41.417357|41.417631|41.418122|41.419093|41.419685|41.419917|41.420243|41.420156|41.420292|41.42047|41.42153|41.421576|41.421313|41.421291|41.420233|41.420287|41.420373|41.42089|41.421151|41.421349|41.421482|41.421602|41.421861|41.422791|41.423073|41.423483|41.423589|41.423833|41.42443
0-EU-ES-08-13-001-019-07-006,El Baix Guinardó,8,2.169316|2.169399|2.167992|2.167305|2.166815|2.166228|2.165648|2.164267|2.162931|2.161558|2.16129|2.161557|2.162072|2.162159|2.162244|2.163259|2.163735|2.163886|2.164182|2.168639|2.169626|2.170563|2.172948|2.174341|2.17303|2.171317|2.170016|2.169512|2.169316|41.415239|41.41558|41.415756|41.415435|41.415202|41.414922|41.414875|41.414632|41.414312|41.41376|41.413617|41.413292|41.412658|41.41256|41.412461|41.411225|41.410762|41.410614|41.41033|41.406926|41.40764|41.408359|41.410147|41.411187|41.412184|41.413494|41.414475|41.414864|41.415239
0-EU-ES-08-13-001-019-07-007,El Carmel,8,2.158557|2.158365|2.158318|2.158181|2.157851|2.157764|2.157418|2.156996|2.156663|2.155999|2.154894|2.15432|2.152975|2.152282|2.151886|2.151425|2.151037|2.150592|2.151051|2.151799|2.151723|2.152607|2.152428|2.151858|2.151552|2.15117|2.151061|2.151016|2.15099|2.150814|2.150674|2.150426|2.149514|2.149242|2.150878|2.151742|2.151718|2.151697|2.151667|2.151571|2.151454|2.151182|2.15109|2.150974|2.150975|2.150995|2.151256|2.151475|2.15176|2.151914|2.151944|2.152694|2.152894|2.15343|2.153932|2.154634|2.154827|2.155203|2.155696|2.156071|2.15615|2.15634|2.156536|2.156562|2.156363|2.156366|2.156517|2.156982|2.157327|2.158538|2.158651|2.158865|2.158969|2.159052|2.159129|2.159175|2.15913|2.15899|2.15887|2.158778|2.158827|2.159488|2.159745|2.16015|2.160672|2.160911|2.161077|2.161345|2.161079|2.161291|2.161722|2.162485|2.163054|2.163323|2.163669|2.164386|2.165079|2.165299|2.164826|2.16414|2.163867|2.163628|2.163335|2.163235|2.163046|2.162625|2.16226|2.159631|2.159244|2.159182|2.159031|2.158458|2.158166|2.159036|2.158774|2.15853|2.158557|41.424685|41.425298|41.425532|41.426285|41.428137|41.428541|41.429191|41.429061|41.428959|41.428724|41.428183|41.427805|41.427171|41.426871|41.426512|41.426321|41.426203|41.42607|41.42609|41.425993|41.425209|41.425133|41.425029|41.424753|41.424462|41.424023|41.423584|41.423303|41.422446|41.422149|41.421962|41.421638|41.420727|41.420357|41.42024|41.420177|41.419889|41.419679|41.419366|41.419107|41.418835|41.418438|41.418273|41.418058|41.417937|41.417833|41.417515|41.417305|41.417162|41.416926|41.416926|41.416876|41.416693|41.416253|41.41583|41.415233|41.415125|41.415663|41.415858|41.416005|41.416114|41.416382|41.416719|41.416903|41.417263|41.417421|41.417637|41.417835|41.417801|41.416943|41.416809|41.416525|41.416504|41.416517|41.416571|41.416666|41.41676|41.416826|41.416875|41.416943|41.417027|41.417638|41.41781|41.417797|41.417559|41.417444|41.417433|41.417483|41.41818|41.418244|41.418693|41.420077|41.419924|41.419911|41.419959|41.420011|41.420031|41.420643|41.420837|41.420921|41.420956|41.421183|41.421046|41.421167|41.421628|41.421574|41.422433|41.421948|41.421444|41.421365|41.421362|41.421696|41.423038|41.423246|41.423815|41.424299|41.424685
0-EU-ES-08-13-001-019-08-002,Les Roquetes,8,2.167978|2.168779|2.169062|2.16951|2.170137|2.170836|2.171118|2.171661|2.176667|2.177573|2.179751|2.180171|2.180284|2.179574|2.180068|2.180348|2.181202|2.183164|2.183175|2.184111|2.184469|2.183309|2.18255|2.181812|2.181312|2.180755|2.179958|2.179419|2.17909|2.178329|2.176907|2.1766|2.17618|2.175816|2.174629|2.173594|2.172544|2.172323|2.171684|2.17145|2.171031|2.170186|2.169692|2.169323|2.168568|2.16758|2.16798|2.167978|41.447592|41.447091|41.446563|41.445781|41.444645|41.444882|41.444392|41.443483|41.445369|41.445606|41.446124|41.446842|41.447205|41.447953|41.449568|41.450266|41.450915|41.452468|41.453019|41.45369|41.454478|41.453729|41.453467|41.452877|41.452728|41.453024|41.453647|41.45324|41.45195|41.451318|41.451387|41.451149|41.450583|41.450434|41.4505|41.449914|41.449269|41.449274|41.449542|41.449516|41.449239|41.448718|41.448654|41.448802|41.449578|41.449218|41.447988|41.447592
0-EU-ES-08-13-001-019-08-003,La Trinitat Nova,8,2.190409|2.188706|2.187044|2.185349|2.184469|2.184118|2.183179|2.183167|2.181624|2.180363|2.180073|2.179574|2.180284|2.180171|2.179751|2.181974|2.184991|2.187683|2.188463|2.188716|2.189036|2.188866|2.190409|41.455189|41.456102|41.455466|41.454814|41.454478|41.453689|41.453013|41.452462|41.451242|41.450264|41.449563|41.447953|41.447205|41.446842|41.446124|41.446479|41.446681|41.446944|41.44918|41.449902|41.451693|41.453389|41.455189
0-EU-ES-08-13-001-019-10-001,El Camp de l'Arpa del Clot,8,2.186899|2.186952|2.183387|2.17918|2.175459|2.176327|2.177715|2.179867|2.181103|2.183323|2.185734|2.186875|2.186899|41.411748|41.415241|41.417947|41.414856|41.412049|41.411377|41.410321|41.40869|41.407743|41.406036|41.407799|41.40867|41.411748
0-EU-ES-08-13-001-019-10-004,El Besòs,8,2.212165|2.210702|2.209628|2.208157|2.209693|2.207298|2.214048|2.215761|2.219059|2.228582|2.23853|2.227892|2.221333|2.220436|2.219344|2.21818|2.217734|2.215249|2.213108|2.212165|41.422251|41.42119|41.42037|41.419233|41.418333|41.415291|41.410113|41.410484|41.411328|41.404182|41.412252|41.412638|41.4134|41.414173|41.415661|41.417229|41.417033|41.419326|41.421182|41.422251
0-EU-ES-08-13-001-019-10-007,Provençals del Poblenou,8,2.208155|2.205073|2.202533|2.197126|2.194851|2.191501|2.192617|2.193782|2.203987|2.207567|2.209885|2.211027|2.211879|2.211675|2.207295|2.209692|2.208155|41.419234|41.416933|41.41501|41.411012|41.409305|41.406784|41.405915|41.405037|41.407614|41.408518|41.410274|41.41114|41.411778|41.411939|41.415292|41.418335|41.419234
0-EU-ES-08-13-001-019-10-009,Diagonal Mar i el Front Marítim del Poblenou,8,2.22602|2.219054|2.215785|2.214047|2.211875|2.207568|2.20398|2.21023|2.207056|2.207366|2.208661|2.210788|2.213588|2.22602|41.406091|41.411318|41.41048|41.410105|41.411779|41.408517|41.407615|41.402722|41.400304|41.400063|41.39912|41.397557|41.396108|41.406091
0-EU-ES-08-13-001-019-01-004,El Raval,8,2.169821|2.168683|2.167523|2.164729|2.163982|2.16362|2.163365|2.163283|2.163072|2.165198|2.167553|2.167527|2.174812|2.175441|2.175402|2.176119|2.17669|2.181999|2.183318|2.1817|2.179564|2.178152|2.177367|2.176348|2.176578|2.17702|2.177157|2.177237|2.177804|2.177172|2.176366|2.175493|2.175055|2.172567|2.171767|2.169821|41.385544|41.385614|41.385686|41.385952|41.385302|41.382879|41.380965|41.38035|41.378769|41.377087|41.375223|41.374961|41.374675|41.374568|41.37384|41.373316|41.372312|41.369745|41.371797|41.37242|41.37327|41.373848|41.373673|41.374181|41.374451|41.37496|41.375118|41.375204|41.375801|41.376366|41.377294|41.378618|41.379114|41.381931|41.382923|41.385544
0-EU-ES-08-13-001-019-02-005,La Sagrada Família,8,2.17546|2.174331|2.172975|2.172127|2.170833|2.169654|2.168637|2.169883|2.170767|2.172026|2.169754|2.173251|2.179559|2.186456|2.18624|2.183323|2.182983|2.176213|2.17546|41.41205|41.411185|41.410167|41.409532|41.408561|41.407661|41.406928|41.405999|41.40533|41.40439|41.402692|41.399991|41.401561|41.403361|41.403891|41.406041|41.406315|41.411466|41.41205
0-EU-ES-08-13-001-019-03-003,La Bordeta,8,2.130727|2.131491|2.131961|2.132233|2.132911|2.131705|2.133928|2.139458|2.142334|2.1424|2.142479|2.141939|2.141458|2.141463|2.141096|2.140259|2.140433|2.139501|2.137902|2.138089|2.136914|2.135245|2.134701|2.13453|2.133602|2.132248|2.131901|2.130128|2.130727|41.369436|41.368231|41.367012|41.366423|41.365555|41.365108|41.363387|41.367755|41.369965|41.37121|41.372691|41.372462|41.372833|41.37381|41.373822|41.373774|41.373186|41.372897|41.372367|41.371991|41.371594|41.37108|41.371058|41.371111|41.37119|41.370892|41.37161|41.369961|41.369436
